UserID: 2
0000110000000000000000110000;142.0
0000110000000000000001000000;144.0
0000100000000000000010000000;176.0
0000100000000000001000000000;222.0
0000010000000000010000000000;344.0
0000010000000000010000000000;362.0
0000010000000000110000000000;420.0
0000011000000000111000000000;508.0
0000011000000000111000000000;525.0
0000001110000000111000000000;594.0
0000000110000000111000000000;673.0
0000000011100000111100000000;692.0
0000000011110000011100000000;773.0
0000000000110000011000000000;832.0
0000000000111000011100000000;883.0
0000000000111000011100000000;996.0
0000000000110000011000000000;996.0
0000000000000000000000000000;1049.0
0000000000000000000000000000;1146.0
0000000000000000000000000000;1180.0
0000000000000000000000000000;1233.0
0000000000000000000000000000;1312.0
0000000000000000000000000000;1362.0
0000000000000000000000000000;1436.0
0000000000000000000000000000;1488.0
0000000000000000000000000000;1540.0
0000000000000000000000000000;1606.0
0000000000000000000000000000;1659.0
0000000000000000000000000000;1725.0
0000000000000000000000000000;1774.0
0000000000000000000000000000;1860.0
0000000000000000000000000000;1897.0
0000000000000000000000000000;1961.0
0000000000000000000000000000;2014.0
;
0000000000001000000000000100;53.0
0000000000011000000000001100;102.0
0000000000011000000000010100;173.0
0000000000011000000000111100;224.0
0000000000011000000000111000;324.0
0000000000011000000001111000;342.0
0000000000110000000001111000;391.0
0000000000110000000111100000;459.0
0000000000011000000111000000;524.0
0000000000011000001111000000;621.0
0000000000011000011111000000;639.0
0000000000111000011111000000;689.0
0000000000110000011111000000;760.0
0000000001110000011111000000;825.0
0000000111000000011110000000;885.0
0000001111000000001110000000;958.0
0000011110000000001110000000;994.0
0001110000000000001110000000;1063.0
0001110000000000001110000000;1127.0
0001110000000000001110000000;1211.0
0001100000000000000100000000;1231.0
0000000000000000000000000000;1297.0
0000000000000000000000000000;1355.0
0000000000000000000000000000;1422.0
0000000000000000000000000000;1480.0
0000000000000000000000000000;1532.0
0000000000000000000000000000;1608.0
0000000000000000000000000000;1644.0
0000000000000000000000000000;1709.0
0000000000000000000000000000;1780.0
0000000000000000000000000000;1828.0
0000000000000000000000000000;1884.0
0000000000000000000000000000;1952.0
0000000000000000000000000000;2009.0
;
0000110000000000001100000000;34.0
0000011000000000001100000000;102.0
0000001110000000000110000000;158.0
0000000111000000000110000000;224.0
0000000001100000000111000000;325.0
0000000001100000000101100000;346.0
0000000001111000000001010000;397.0
0000000000111000000001010000;478.0
0000000000110000000000000000;511.0
0000000000100000000000000100;580.0
0000000000000000000000000100;639.0
0000000000000000000000000000;688.0
0000000000000000000000000010;759.0
0000000000000000000000000000;812.0
0000000000000000000000000000;926.0
0001000000000000000000000100;949.0
0001000000000000000000000100;995.0
0001000000000000000000000100;1084.0
0001000000000000000000000000;1117.0
0000000000000000000000001000;1170.0
0001000000000000000000001000;1239.0
0001000000000000000000001000;1290.0
0000000000000000000000010000;1343.0
0001100000000000000000010000;1416.0
0001100000000000000000110000;1466.0
0000100000000000000000110000;1556.0
0000110000000000000001100000;1594.0
0000011000000000000011100000;1641.0
0000001110000000000011000000;1716.0
0000000011100000000111000000;1768.0
0000000001110000001100000000;1861.0
0000000000111000011100000000;1900.0
0000000000111000011100000000;1935.0
0000000000000000000000000000;2004.0
;
0000001100000000011100000000;35.0
0000000111100000011100000000;122.0
0000000011110000011110000000;158.0
0000000000111000011110000000;225.0
0000000000011000000110000000;288.0
0000000000111000010111000000;339.0
0000000000011000000011110000;437.0
0000000000011000000011110000;453.0
0000000000010000000000010000;506.0
0000000000110000000000111000;590.0
0000000001000000000000001100;643.0
0000000100000000000000000100;692.0
0000010000000000000000001000;770.0
0000100000000000000000011000;812.0
0001000000000000000000111000;871.0
0011000000000000000000110000;933.0
0001100000000000000001110000;983.0
0000111000000000000011000000;1063.0
0000011110000000000111000000;1111.0
0000001111100000011111100000;1205.0
0000011111000000011111000000;1238.0
0000000111000000000110000000;1307.0
0000000000000000000000000000;1366.0
0000000000000000000000000000;1419.0
0000000000000000000000000000;1467.0
0000000000000000000000000000;1535.0
0000000000000000000000000000;1598.0
0000000000000000000000000000;1670.0
0000000000000000000000000000;1707.0
0000000000000000000000000000;1771.0
0000000000000000000000000000;1821.0
0000000000000000000000000000;1889.0
0000000000000000000000000000;1977.0
0000000000000000000000000000;2010.0
;
0001100000000000110000000000;49.0
0000110000000000110000000000;114.0
0000011000000000111000000000;167.0
0000000110000000111100000000;268.0
0000000011100000011100000000;285.0
0000000001110000011100000000;334.0
0000000001110000011100000000;413.0
0000000001110000011100000000;465.0
0000000001110000011100000000;513.0
0000000011110000011110000000;593.0
0000000011100000001111000000;644.0
0000000111000000000111000000;706.0
0000000111000000000111100000;757.0
